id,phone,company_name,industry,annual_revenue,account_number_external_id,number_of_locations,number_of_employees,sla,sla_serial_number
551,358-656-5520,MSA Safety Incorporporated,Industrial Specialties,73935273,dafaeb22-6382-4b0e-b5b0-315a2ce12d09,1,841,Bronze,307070115
552,635-722-2950,CrossAmerica Partners LP,Oil Refining/Marketing,76654031,6460727c-f7db-4fc3-8d68-94de46bfef3f,14,472,Bronze,086500142
553,906-669-9342,Murphy Oil Corporation,Oil & Gas Production,67020930,1adf20c4-4839-4f88-a7b3-89a034b6b559,10,962,Platinum,091310929
554,705-126-8461,"Enbridge Energy, L.P.",Natural Gas Distribution,6851907,9f342661-f4b3-4068-9418-e9f156e969de,1,871,Platinum,123006389
555,996-339-3686,American Homes 4 Rent,Real Estate Investment Trusts,35009328,73d676ca-2aa2-468d-a003-128eef028cc7,11,500,Silver,101015020
556,566-381-7118,"HubSpot, Inc.",Computer Software: Prepackaged Software,6580990,e0fba12d-18b5-4c12-b021-ddaa601638e5,2,530,Gold,026003353
557,333-670-8038,"CoreCivic, Inc.",Real Estate Investment Trusts,43647881,0f92e85b-7f78-4e55-be04-fdefb35ac17f,2,713,Gold,074904190
558,121-858-8612,Cushing Renaissance Fund (The),n/a,59306788,0efe863c-94f2-4c75-8bf6-56059ac2ff22,16,11,Bronze,122237515
559,842-549-2489,Sirius XM Holdings Inc.,Broadcasting,92596921,8f241311-76bd-4d2b-b838-185091ed31bd,5,516,Silver,084205889
560,689-246-4115,"Computer Programs and Systems, Inc.",EDP Services,70304286,c182c5d5-17f8-4161-b46b-c88937bafe39,20,678,Gold,054001550
561,232-358-3207,Ares Management L.P.,Investment Managers,60959265,6c2a04ef-55f3-4316-a77d-1f5a29d04393,14,925,Gold,221271265
562,830-527-3363,MSCI Inc,Business Services,24295029,4d00bdfd-f3b8-44ed-b797-ea49ea5bf003,19,84,Silver,111316612
563,275-295-2013,Tennessee Valley Authority,Electric Utilities: Central,91711954,1d1283bc-f526-4a4f-80bd-aab27574c00a,11,755,Silver,071925237
564,749-217-0283,Quidel Corporation,Biotechnology: In Vitro & In Vivo Diagnostic Substances,36175125,37e4f29a-6c9b-4bc0-8ac7-f5f28c2991ea,18,139,Bronze,075900148
565,845-494-3678,"e.l.f. Beauty, Inc.",Package Goods/Cosmetics,31554130,7e1f61c9-b572-4b07-a565-9bbe3682d3d0,14,49,Platinum,102102864
566,675-501-0270,VelocityShares 3x Long Silver ETN,Investment Bankers/Brokers/Service,77656403,3806a914-9783-4011-a21c-e911e364648b,5,289,Gold,062202134
567,692-987-5518,National Bank Holdings Corporation,Major Banks,15571731,afb97949-0408-4221-9384-e84129d6292c,14,30,Silver,043309975
568,146-457-6042,STORE Capital Corporation,Real Estate Investment Trusts,83262976,43752bd1-b9f6-46c1-8ff1-a63a96add0dd,3,838,Bronze,061112092
569,699-465-1935,Nuveen Short Duration Credit Opportunities Fund,n/a,84249335,18f1307c-a20d-4e93-9507-bcaa029dbfb9,2,24,Platinum,061019742
570,717-939-7908,Modine Manufacturing Company,Auto Parts:O.E.M.,97031017,94911f60-76d2-4cf8-ad6d-46e0e3d56ee0,5,764,Bronze,122242843
571,508-993-3294,First Trust International IPO ETF,n/a,53407539,c469f092-4c48-4692-94be-85127c4c9451,9,677,Platinum,262287386
572,735-636-7445,"Helix Energy Solutions Group, Inc.",Oilfield Services/Equipment,76799884,8742e474-1833-4ce8-9eb7-08928c94ba37,3,704,Bronze,322170016
573,403-226-6445,"Westbury Bancorp, Inc.",Major Banks,35280509,f3653a69-2b91-4f90-8ebf-4bb5d1d80973,19,939,Silver,311972652
574,910-631-4912,Oxford Lane Capital Corp.,n/a,78085540,4808c8f6-c117-4c1f-a862-95df35390ce9,16,51,Bronze,111910267
575,681-314-6728,"MDU Resources Group, Inc.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),91886577,323820e8-e68a-499a-b150-ed6d1784f13a,10,598,Silver,071102322
576,475-366-0657,Encore Wire Corporation,Metal Fabrications,20001787,2f12dd90-3cb5-41de-a50c-ac1a997fddb6,6,746,Gold,075900148
577,444-207-3616,Blackrock Muni New York Intermediate Duration Fund Inc,n/a,30954898,d909368d-23e6-4071-954e-3cb2cd9c21c0,1,243,Silver,061119781
578,599-725-0172,"Banco Santander, S.A.",n/a,51221117,a1279ebf-b768-4ec1-a739-f24808d091fd,5,290,Platinum,275079882
579,828-132-9556,BOK Financial Corporation,Major Banks,1750092,1af3f860-26ab-4f86-a0a4-2affe4145ba6,12,594,Gold,122220593
580,340-915-6217,Select Asset Inc.,Finance: Consumer Services,45411790,9b9c0c45-f58a-4bae-b088-692079bac2f8,13,184,Gold,101102108
581,530-330-2423,SLM Corporation,Finance: Consumer Services,92545813,929db3a9-c997-4fc8-aec5-988b84c7456c,7,87,Platinum,241071762
582,457-885-3372,"Tempur Sealy International, Inc.",Home Furnishings,81090879,3eb4b9a0-9b28-4c93-b3e4-d827293affe5,17,835,Gold,121132682
583,781-621-5899,Ball Corporation,Containers/Packaging,42063370,b1b871b0-8910-497a-aa00-11c6529839d0,20,780,Gold,103103147
584,960-984-2528,Star Bulk Carriers Corp.,Marine Transportation,88585570,8aa598ef-8b8b-4e3b-8954-35dbb50ee842,2,663,Bronze,063206663
585,287-139-4078,Highpower International Inc,Industrial Machinery/Components,85109808,320ec5c1-7962-41e6-92f6-14ffeb1c58b9,13,854,Bronze,113102552
586,789-426-2158,Brookfield DTLA Inc.,n/a,94634992,67529ef8-2229-4e6e-a68b-e31be9600219,2,373,Platinum,071924319
587,927-217-9439,Western Asset Mortgage Capital Corporation,Real Estate Investment Trusts,69408227,1b401630-d854-42fd-a061-455ef71d506e,18,826,Platinum,031309123
588,263-349-0469,IBERIABANK Corporation,Major Banks,42522780,159f4672-6509-415e-860e-fb344080475a,14,991,Bronze,083902154
589,243-958-3898,Southwestern Energy Company,Oil & Gas Production,86340531,7f543d4e-36fe-4120-a208-515597cabce1,15,181,Platinum,221970443
590,138-350-1580,Timken Company (The),Metal Fabrications,53705630,409ef307-f005-43c2-8596-6cb883509dcc,5,328,Platinum,062103259
591,808-658-9155,United States Cellular Corporation,Telecommunications Equipment,66637776,3811c50b-097c-40de-aa9f-e95427bf7db8,3,29,Bronze,104910795
592,889-856-7961,"CAS Medical Systems, Inc.",Medical/Dental Instruments,11114492,cd6468c3-e43f-41c3-8f15-2516df34fb56,14,718,Bronze,122201198
593,869-414-8393,"Dycom Industries, Inc.",Water Supply,94599338,2fc1c964-c217-43bc-b58b-c2bd8b659c3c,11,497,Silver,084201692
594,514-235-8856,Scudder Municiple Income Trust,n/a,78788420,bc75f58e-4be0-4caa-b588-6dad786a80bf,16,429,Silver,073903503
595,392-147-1476,Elbit Imaging Ltd.,Building operators,56237239,7502e542-c362-4cf6-819e-306e960b7db2,1,876,Silver,082906494
596,863-366-7514,"Vertex Energy, Inc",Integrated oil Companies,98371063,7166a11b-b31f-4f55-a0e5-0cd2885f5695,19,634,Silver,231372439
597,452-705-1550,Dover Downs Gaming & Entertainment Inc,Services-Misc. Amusement & Recreation,43617572,9b1d1e93-a928-4526-9a79-7d43b3a774d9,4,483,Silver,103000703
598,190-274-4721,Enzymotec Ltd.,Specialty Chemicals,20195889,11cd7cdc-019e-4617-bb19-3460b5be22f1,19,246,Silver,091406972
599,427-737-0457,Pennsylvania Real Estate Investment Trust,n/a,68960511,b8e31d99-049c-4075-bdee-8369eb34bb55,7,498,Silver,072410013
600,356-655-5896,Whiting Petroleum Corporation,Oil & Gas Production,73616688,1ac925db-cb8c-488a-a052-9e949b040f39,15,735,Bronze,107005801
601,222-736-9476,Optibase Ltd.,Real Estate,94514345,5bfbb2a2-c8a3-4dfc-8065-0a1d3bf3990f,7,696,Silver,101918965
602,742-385-5378,GATX Corporation,Transportation Services,38722332,522b5ba3-9d69-480d-a47b-e3a1740a7c75,4,56,Bronze,075901480
603,302-500-4570,Vanguard Total International Bond ETF,n/a,33020536,6cea6d19-2427-460a-9481-c79def6cfe9b,11,35,Platinum,084203276
604,963-679-6802,TCF Financial Corporation,n/a,46589073,50c45d50-d39b-49ce-a945-913359179c71,20,224,Gold,031317380
605,502-584-4272,"Summit Materials, Inc.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),30995400,7a9d87a2-2a55-4235-8c18-a5e5c9de48eb,5,595,Gold,265270222
606,891-347-7248,Associated Banc-Corp,Major Banks,53894968,6a169e3e-5f7b-4210-9e91-aa1a4020738a,4,798,Silver,082908874
607,449-686-7444,"NI Holdings, Inc.",Property-Casualty Insurers,94739085,76d13d9b-5c24-49e5-9681-a240ce91c420,19,301,Silver,031100351
608,375-182-8368,"U.S. Global Investors, Inc.",Investment Managers,64429421,e1f53717-4c0d-4580-b2e9-8e5e81d5fc03,9,665,Bronze,091403140
609,837-418-8349,"Alder BioPharmaceuticals, Inc.",Major Pharmaceuticals,53428364,91d2f5db-705b-4ff1-9978-f607402c96d8,17,965,Bronze,031100869
610,184-286-5585,INVESCO MORTGAGE CAPITAL INC,Real Estate Investment Trusts,35055613,03e4a5f9-8e17-4b2a-83ec-2095053339d6,14,748,Bronze,044015747
611,779-150-3111,"WhiteHorse Finance, Inc.",n/a,81529144,9f8f1db2-394e-4ede-8f2e-4a1d8a009358,2,433,Bronze,091071608
612,166-809-0677,STRATS Trust,Finance: Consumer Services,92514369,e8f139f4-8f08-452e-b16f-a3638ad657f1,15,204,Gold,111313631
613,983-370-7947,Macy's Inc,Department/Specialty Retail Stores,60414930,e2a18bc5-0f78-4dd0-9aed-3ccf29523637,1,20,Platinum,091914710
614,924-355-9333,WEX Inc.,Business Services,58410862,b930b997-0129-49cf-bf4d-67e1e72b2951,9,878,Gold,253171430
615,742-511-6974,Rayonier Advanced Materials Inc.,Major Chemicals,2812788,ce80c783-1547-45aa-8171-22414e956281,13,31,Gold,022302689
616,546-154-4775,"Energy Focus, Inc.",Building Products,75990762,4063df47-0fa0-40af-b01c-417004fa698a,19,417,Platinum,101113676
617,584-482-5200,Legacy Reserves LP,Oil & Gas Production,73565650,c8dd1573-842a-4531-be3a-4984398d8258,3,426,Gold,081904808
618,173-706-4967,"Virtus Investment Partners, Inc.",Investment Managers,31066119,eda6a9fa-66de-41a7-9a22-a3f785c5ca9f,10,710,Platinum,111908004
619,112-214-3300,Nuveen High Income December 2019 Target Term Fund,n/a,1761939,d4ba72d9-3b4d-4ff6-946b-cc86adfd34f1,3,379,Silver,031308810
620,109-114-0958,"ShotSpotter, Inc.",Computer Software: Prepackaged Software,70712002,97602228-27ed-47d8-8595-9043586c0ab0,14,474,Platinum,253272070
621,869-349-5037,Pacific Premier Bancorp Inc,Major Banks,82278364,f8d47cbd-b4d0-4449-ad91-a2c3f830f539,6,962,Gold,064109264
622,841-283-7839,Aspen Insurance Holdings Limited,n/a,95737917,c37ffe7d-e0f2-4895-93da-3c08f5416690,3,631,Gold,021113086
623,751-668-9694,"Ossen Innovation Co., Ltd.",Steel/Iron Ore,50540185,c0aaea26-cad8-4ba4-9ac5-d554dbeb9461,9,636,Bronze,026004394
624,276-752-6610,United Insurance Holdings Corp.,Property-Casualty Insurers,22827614,f4ce0033-3abe-4bcd-a5d5-c56128e8ef84,18,551,Platinum,114916488
625,272-297-8796,"Blackrock Debt Strategies Fund, Inc.",n/a,96570194,7ac3ba83-5fe3-47f8-8f77-95b527f6ba0c,19,335,Silver,041203895
626,682-793-4590,Scudder Municiple Income Trust,n/a,25105009,7c8022f2-7076-4021-9af4-42e00ef60122,3,491,Bronze,028000082
627,395-589-7888,Hersha Hospitality Trust,n/a,57696844,946fc726-7589-473c-a3f4-0ac426be9704,19,56,Gold,322282292
628,862-937-1541,"Blackrock MuniYield Fund, Inc.",n/a,93599925,e7d466b4-9a5a-45fd-99c7-7b37e4cb3e30,19,78,Platinum,282974006
629,645-852-4621,NeuroDerm Ltd.,Major Pharmaceuticals,32151851,e9ca1ac1-dcc9-4232-8c08-67e914f93af6,13,786,Silver,111308057
630,874-800-0805,Potlatch Corporation,Real Estate Investment Trusts,93606557,151d575c-e797-4b36-8291-83f6d360703c,17,496,Silver,071925839
631,940-602-7172,"Argos Therapeutics, Inc.",Major Pharmaceuticals,41537559,9258482b-aada-432d-9b74-7fd86fd6f58d,19,205,Platinum,071922476
632,173-397-7678,Oxford Lane Capital Corp.,n/a,82452357,abe8f801-4d1b-4114-930e-7a85fadf323c,12,390,Gold,082901101
633,686-465-0078,"LEAP THERAPEUTICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),19619596,96265047-bc32-49f5-9ebe-0756b7b552b4,15,912,Platinum,103112617
634,989-646-3286,"Autoliv, Inc.",Auto Parts:O.E.M.,18771905,ffed407e-a205-47e7-a110-3bbe07847aa0,8,345,Bronze,021307708
635,923-296-9703,Universal Technical Institute Inc,Other Consumer Services,71160838,f58c64fb-8235-425d-9aff-5ac5d8400a73,8,515,Silver,074912988
636,883-330-2613,"Pinnacle Financial Partners, Inc.",Major Banks,23614145,de4ec9b3-52d3-4807-a50d-18a36fb289c8,10,276,Bronze,067012413
637,888-790-7897,Coca-Cola Company (The),Beverages (Production/Distribution),34449883,9262d5ca-f07b-4fa2-b638-ec718aca5815,10,563,Platinum,243073852
638,101-702-3315,NQ Mobile Inc.,Computer Software: Prepackaged Software,69205407,6edc617c-0ccc-4f7a-bc2a-8fadbb688b5a,16,3,Platinum,111105234
639,366-279-3593,"Urban One, Inc. ",Broadcasting,50803201,7c764c4f-c199-49fa-8cde-8e2ef0fcb4a3,12,451,Platinum,061105999
640,922-653-3592,Harmony Merger Corp.,Oil & Gas Production,92086328,f23e43b7-75d0-4a8b-95b4-254935b7cf2e,8,364,Silver,067016118
641,705-367-6916,"Colony NorthStar, Inc.",n/a,65972681,63ae1e88-cbbe-40c3-baaf-580b60a20811,6,397,Gold,053185406
642,349-963-8546,"Eco-Stim Energy Solutions, Inc.",Oilfield Services/Equipment,52717492,a9e64aeb-314a-40a5-b386-52e74273a2ec,6,135,Platinum,067015119
643,905-171-2948,Belmond Ltd.,Hotels/Resorts,48378172,53e96b00-b4ad-45f1-8c6f-f4d97025ecee,13,326,Bronze,102302680
644,574-264-9639,"Colony NorthStar, Inc.",n/a,93676831,18e4ff81-2960-4ef9-b1d4-d7b4f912b58d,7,32,Platinum,042202196
645,605-785-8516,"DelMar Pharmaceuticals, Inc.",Major Pharmaceuticals,73709938,3e7e0ca3-8e93-4ad7-80f0-24c29c0d12b1,10,188,Bronze,101104504
646,965-869-1339,"Varonis Systems, Inc.",Computer Software: Prepackaged Software,77101948,0ac2aa90-2ec5-4ec1-89ed-303c8e8c33e1,5,757,Bronze,067014330
647,475-145-2524,"ZAIS Group Holdings, Inc.",Investment Managers,38506678,751bd3c8-81a1-4f11-a6b8-d3871ee7f1c4,6,386,Silver,063114108
648,184-157-5987,KKR Income Opportunities Fund,n/a,12864766,6fcc699a-3b5b-435d-b370-90f4c9f0e3dd,1,965,Bronze,061000146
649,876-573-9987,PAR Technology Corporation,Office Equipment/Supplies/Services,56632141,77ba6eba-b3e3-4f49-b7d7-3b566de93e7d,19,374,Platinum,267084199
650,886-687-0433,VCA Inc. ,Farming/Seeds/Milling,96024811,f5ba03e7-33fa-46d2-ae83-e052c29525f5,1,911,Platinum,021213177
651,134-605-1192,VALE S.A.,n/a,55056795,ca310201-76d7-463e-8186-39e18515671d,11,436,Gold,063105405
652,149-297-4472,"Tesla, Inc. ",Auto Manufacturing,73730383,529710e1-0c1c-49ef-a49c-3f6bab1739c3,1,499,Platinum,103101576
653,602-782-2733,"Fiesta Restaurant Group, Inc.",Restaurants,57980702,c17ab198-16c3-41f8-a7d6-3a2f5ff4a279,17,555,Bronze,053112479
654,502-268-2545,"Banc of California, Inc.",n/a,89784291,d1b2324e-1f83-4bb8-9ac7-00ce5b670bb1,9,172,Silver,253177476
655,620-476-2987,Modern Media Acquisition Corp.,Business Services,17870527,8f10c06b-a35c-400d-a811-51fb7d849862,9,989,Gold,125108065
656,363-817-4429,Astronics Corporation,Military/Government/Technical,87366347,d5046b42-bb02-498a-a61d-76033c941c8b,2,242,Gold,101003317
657,380-803-7154,Intra-Cellular Therapies Inc.,Major Pharmaceuticals,4560303,7e149c69-9f09-4c4a-b2fd-0b3a6fb4429e,10,507,Silver,065403875
658,148-234-5928,"AeroVironment, Inc.",Aerospace,6428991,7a28b757-2b98-48e7-8a6b-e854f86e3a79,15,46,Gold,104904882
659,743-304-2186,BB&T Corporation,n/a,80132073,7a91aa4f-b1ba-4d5b-bd03-1ca4ef315910,5,755,Bronze,111304051
660,223-587-6373,Emerge Energy Services LP,Mining & Quarrying of Nonmetallic Minerals (No Fuels),4175972,90786498-84c5-4f03-a1dc-0694c3e634db,13,996,Silver,084302698
661,241-499-4207,"City Office REIT, Inc.",n/a,76370543,126728b7-2be3-49b5-b8c8-7703374a5f90,20,283,Bronze,111909443
662,143-352-2507,"Threshold Pharmaceuticals, Inc.",Major Pharmaceuticals,65853703,3f0284de-cc4a-490b-9ff9-588f0d1ef0a3,4,391,Bronze,051404231
663,759-809-8560,VelocityShares 3x Inverse Gold ETN,Investment Bankers/Brokers/Service,64590133,2674b2cf-3ed0-4fc4-9b53-de10bed6ca7e,6,642,Gold,101110543
664,995-117-9000,"T-Mobile US, Inc.",Telecommunications Equipment,78341978,68cfed95-eab4-4d7c-a0fb-44df2ed0dafa,15,617,Gold,081905593
665,160-502-9750,"Apogee Enterprises, Inc.",Auto Parts:O.E.M.,94992136,71adc6b6-745c-4084-8046-8064dbe9fff1,12,645,Gold,091310725
666,871-802-3551,Canadian Natural Resources Limited,Oil & Gas Production,10291510,850be66d-8c88-4092-96da-f27c290a63a9,7,431,Silver,322273272
667,275-939-5402,"Rightside Group, Ltd.",Business Services,20296100,08cffad3-131f-4093-96de-0749f165d3ac,14,292,Gold,102101548
668,565-351-7663,Nutraceutical International Corporation,Specialty Chemicals,6453221,ffac039b-9eb4-4561-ad7b-f240ffacd881,12,327,Silver,022309239
669,427-779-8079,Frontier Communications Corporation,Telecommunications Equipment,35436356,0e3e39ca-4876-4345-a182-673fea1a1267,7,453,Silver,031302955
670,136-484-5623,E.I. du Pont de Nemours and Company,Major Chemicals,33956309,a5c3b128-21aa-4046-987a-a93a251aeac3,20,18,Bronze,081210314
671,990-339-5915,Goldman Sachs MLP Income Opportunities Fund,n/a,43345433,23d752c5-6f0c-4ea3-8367-c3a448a7659c,1,264,Bronze,114909013
672,439-904-8367,First Data Corporation,Business Services,79547533,e3de6f2f-233a-419e-8e06-f58db9df68c9,15,40,Bronze,111015748
673,683-835-7973,Royal Bank Scotland plc (The),n/a,43819368,5b27b461-b02c-4bac-bb80-0a795567570f,13,963,Gold,251472636
674,101-662-1541,Barington/Hilco Acquisition Corp.,Business Services,2964184,ab6aaae7-3c93-4953-a168-791d09a97bb0,8,917,Bronze,063107513
675,385-853-6008,TapImmune Inc.,Major Pharmaceuticals,92923406,288b1b50-28e9-43a9-83b9-b1dcd2914286,3,435,Platinum,114922980
676,104-497-7294,Kaiser Aluminum Corporation,Metal Fabrications,66034150,dfe6562a-93f9-4348-bfa2-5bc30d53df61,5,869,Bronze,121142779
677,283-884-9151,"United Continental Holdings, Inc.",Air Freight/Delivery Services,7934807,9c0a5a30-0601-49e6-abec-773e2677810d,5,166,Bronze,101201164
678,592-942-1718,Allegiant Travel Company,Air Freight/Delivery Services,68730891,9ce12d1b-d301-4a41-bb1d-7161abe62647,12,196,Bronze,325070760
679,701-937-9349,Playa Hotels & Resorts N.V.,Hotels/Resorts,43367678,4e4bfa1f-d930-4e02-a917-0ece5660a831,10,651,Silver,091213877
680,535-514-4659,LSI Industries Inc.,Building Products,95586221,9eeee64c-b917-43db-a037-6b40b14ebcd7,4,387,Platinum,062202956
681,170-184-9304,Park Electrochemical Corporation,Electrical Products,45438991,e9124034-b021-4963-8552-656d70b39bbc,14,564,Bronze,092101085
682,337-913-3048,Endo International plc,Major Pharmaceuticals,86690508,a66219f2-b216-4e37-a89c-d51addcf0b5b,8,971,Silver,064204703
683,367-831-6219,Till Capital Ltd.,Property-Casualty Insurers,75812509,725e3ff5-1ce3-45f6-8459-2929fc4baa61,2,550,Silver,124103786
684,241-706-1963,Hudbay Minerals Inc.,Precious Metals,88333351,97d415f2-4cd5-4084-ab6c-d397c88d7ab4,13,125,Platinum,011104173
685,183-902-4329,First Trust Dorsey Wright Dynamic Focus 5 ETF,n/a,98093353,0a99b33d-5c07-49a5-be7b-28a7b47add7c,16,335,Gold,114902683
686,162-298-0377,Vanguard International Dividend Appreciation ETF,n/a,76622502,24916517-ea74-4b35-a8f3-14c119ea02af,8,511,Silver,322270495
687,908-408-7191,Devon Energy Corporation,Oil & Gas Production,52070989,b366bb73-6bf1-48f7-9e2d-a976948d564e,2,402,Gold,081504172
688,359-767-0132,Federal Realty Investment Trust,Real Estate Investment Trusts,59329642,44f14c35-66d5-4972-944a-f8d4af30f58a,12,865,Silver,107004381
689,654-726-0050,Signet Jewelers Limited,Consumer Specialties,97329964,1a1cf434-ed21-487d-a825-775d240ebf40,14,223,Silver,121108959
690,897-601-7735,Lockheed Martin Corporation,Military/Government/Technical,37984327,c7327c08-81d3-4c47-a865-87c4145decac,20,914,Silver,026010825
691,739-195-1958,GP Investments Acquisition Corp.,Home Furnishings,2224122,0779bf91-f050-4cd6-ba3f-e59e76a5fc18,9,203,Gold,231271226
692,507-219-4165,Westpac Banking Corporation,Commercial Banks,23351277,550f8d45-922f-4b5d-8196-4337d9f04240,2,976,Bronze,061119493
693,453-339-8841,Nuveen Tax-Advantaged Total Return Strategy Fund,n/a,22445554,b90b0d64-8edd-4c19-a535-3fa8dfa8b88c,2,968,Bronze,071916916
694,694-642-0696,"Professional Diversity Network, Inc.","Computer Software: Programming, Data Processing",5878199,d7426e07-bda2-4f8e-97e3-2d2d271f6198,5,523,Gold,322281439
695,842-695-6660,Investors Title Company,Specialty Insurers,42455704,920449ef-cf83-4071-85b6-ddba6a4370ed,14,81,Bronze,067005475
696,299-948-2867,J P Morgan Chase & Co,Major Banks,37167070,9ba8bdec-033e-40fc-8f71-95ca7ddaa313,12,139,Bronze,081905593
697,566-723-4284,Tennessee Valley Authority,Electric Utilities: Central,36446523,d88e8a9e-8845-43ac-aca5-00bcc981261e,12,180,Silver,091205652
698,530-859-1365,Southern Copper Corporation,Precious Metals,91631951,7ec4d7a0-0c43-4250-bfdf-0f7034d3c8e5,19,438,Silver,111915686
699,391-629-8788,Rayonier Advanced Materials Inc.,Major Chemicals,68756591,5ac75081-c731-448e-a037-4186531081ac,10,496,Platinum,103112329
700,710-296-2518,Nuveen High Income 2020 Target Term Fund,n/a,63676321,4b078462-3550-4a0a-8e3e-b7db17de4b74,10,139,Platinum,022072692
701,573-628-3469,Regulus Therapeutics Inc.,Major Pharmaceuticals,82154807,ef696ff7-4951-42bc-b7ce-19962fde98eb,19,556,Bronze,074903353
702,889-407-0177,Core Laboratories N.V.,Oilfield Services/Equipment,79924090,288f0001-93bc-4c68-aec8-5a37f89d3c93,19,18,Gold,053109877
703,679-661-6051,"United Bankshares, Inc.",Major Banks,37601643,00f26c8b-a26d-4db1-b896-e9d0ea87e1b3,16,758,Bronze,062205733
704,422-636-4839,iShares MSCI EM ESG Optimized ETF,n/a,34528304,122d6760-f60f-4341-9472-e7def6679f27,3,668,Bronze,063114386
705,818-529-9384,AMN Healthcare Services Inc,Professional Services,58478875,14f32bb9-b852-4954-8f94-ce2431388c2d,14,860,Silver,113024562
706,534-702-9876,"TESARO, Inc.",Major Pharmaceuticals,94116437,caf3928e-9e76-4240-9167-0b21533b1a65,17,926,Bronze,073902766
707,394-794-7240,"EOG Resources, Inc.",Oil & Gas Production,96246281,aa091344-1574-4223-9a73-8f1d90d25b50,3,425,Silver,062000116
708,305-402-2101,"Myriad Genetics, Inc.",Biotechnology: In Vitro & In Vivo Diagnostic Substances,25953534,7789fd8c-1a0d-4ad2-8674-05a9fd95c065,1,975,Gold,211370846
709,581-856-7980,"Key Energy Services, Inc.",Oilfield Services/Equipment,67613420,7d4fbb73-3432-4cc0-b522-fb7577465907,2,370,Gold,061119901
710,975-935-2399,Signature Bank,Major Banks,63444309,f2040f8b-250e-4c1f-8ea0-2c25c25ae647,17,910,Silver,311373125
711,776-671-1191,"Nu Skin Enterprises, Inc.",Other Pharmaceuticals,63332623,1ebbf77c-f4d2-464a-9548-ad1bf491a7f0,8,469,Platinum,061020317
712,169-949-5730,"MabVax Therapeutics Holdings, Inc.",Major Pharmaceuticals,87906844,fab14b2a-b29a-44dd-bfa8-37d389b7e869,5,833,Platinum,071923666
713,399-540-3968,"Enphase Energy, Inc.",Semiconductors,76178088,7816799b-0283-480d-b050-4b5113c47823,4,187,Platinum,091305329
714,170-219-9829,"Tortoise Energy Independence Fund, Inc.",n/a,44283105,8380af3f-1fbc-46a2-a816-de280d846a3a,7,763,Gold,071004161
715,964-570-6832,"MFA Financial, Inc.",Real Estate Investment Trusts,66898388,eb5ff0ff-fd23-40e6-8c7a-1d61c1f967e3,4,374,Platinum,113024407
716,936-846-5502,Forestar Group Inc,Real Estate,94138570,e6f2d55f-3f87-4a0b-9301-e39704731ec9,9,160,Silver,083002533
717,479-640-7892,"Akebia Therapeutics, Inc.",Major Pharmaceuticals,85193095,9ea95bfe-5188-4c4c-9c84-89c638cd563b,15,503,Bronze,091901192
718,939-616-9864,"Kona Grill, Inc.",Restaurants,28380227,614ef53e-3e88-4f59-adde-6b0bb67502bc,17,850,Gold,101207773
719,394-804-8776,"American Realty Investors, Inc.",Real Estate,47878165,bd995b01-8970-492a-930a-cb186bd8fbfd,20,821,Gold,101110543
720,596-873-9968,Cantel Medical Corp.,Medical/Dental Instruments,59718696,36613399-9477-45dc-b8c4-2f54b0f30678,4,255,Gold,103104544
721,820-441-9691,The Community Financial Corporation,Major Banks,7670166,1e0c2b40-c240-4515-82b6-bbd6834c5652,4,603,Bronze,102101823
722,564-819-1059,"Consumer Portfolio Services, Inc.",Finance: Consumer Services,12402907,9fe1f32b-e578-4989-af96-afc6f80e2820,7,67,Bronze,031000503
723,138-937-4581,"Diamond Hill Investment Group, Inc.",Investment Managers,6685993,2430591e-d52c-41e9-92ca-59bbc5c06878,11,500,Platinum,111101157
724,840-814-5273,Mazor Robotics Ltd.,Medical/Dental Instruments,9932260,6d257d9d-0f32-4533-9067-e2508b832dd5,3,711,Gold,064107091
725,128-938-6629,Reynolds American Inc,Farming/Seeds/Milling,96374084,38926a1b-16db-4c62-8eea-dec6038fe8bd,10,581,Platinum,064201243
726,758-713-8789,J P Morgan Chase & Co,Major Banks,14002707,f301af01-b1b3-495c-aa8f-0da806724ef4,8,864,Platinum,021000322
727,110-148-0700,"Duff & Phelps Utilities Tax-Free Income, Inc.",n/a,94580752,9d322cff-d2d4-4a73-a4c5-0af031631124,7,710,Platinum,061191848
728,411-816-5812,Covanta Holding Corporation,Electric Utilities: Central,17352427,b7ba9990-797a-4681-8707-5fa260f00473,19,483,Silver,082903837
729,976-831-3449,Dynasil Corporation of America,Industrial Machinery/Components,36984775,471ac3f9-d7b2-426e-8043-c026bff751e3,1,89,Platinum,252070435
730,524-204-6886,"Gilead Sciences, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),68401511,b39232d3-b642-4bc2-b903-600fb1d42038,15,106,Platinum,031310413
731,296-576-3568,"Tivity Health, Inc.",Hospital/Nursing Management,11338232,2f3b2f8e-1c1a-436c-97a9-a0f1dbb9d855,13,772,Bronze,031300465
732,826-663-3997,"J. W. Mays, Inc.",Building operators,22592951,8013a119-49c6-4ca1-8538-f22edf8c2d7b,5,112,Bronze,254070116
